fighter_id,sig_strikes_succ,takedowns_att,takedowns_succ,submiss_att,reversals,ctrl,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att
2.0,59.0,0.0,0.0,1.0,0.0,0,0.0,147.0,93.0,112.0
6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0
7.0,181.0,20.0,13.0,4.0,4.0,1866,0.0,531.0,397.0,295.0
9.0,29.0,1.0,0.0,1.0,0.0,166,0.0,93.0,55.0,66.0
11.0,218.0,21.0,5.0,0.0,3.0,720,0.0,635.0,375.0,463.0
12.0,425.0,36.0,7.0,1.0,0.0,533,0.0,1074.0,501.0,987.0
13.0,66.0,12.0,2.0,0.0,2.0,393,0.0,398.0,153.0,305.0
16.0,738.0,45.0,19.0,3.0,2.0,1996,3.0,1795.0,1064.0,1421.0
17.0,77.0,23.0,7.0,3.0,0.0,1069,0.0,387.0,265.0,158.0
18.0,52.0,2.0,2.0,5.0,0.0,122,0.0,150.0,58.0,141.0
23.0,166.0,1.0,0.0,1.0,0.0,121,1.0,504.0,172.0,486.0
24.0,25.0,18.0,1.0,2.0,0.0,388,0.0,87.0,42.0,68.0
25.0,9.0,0.0,0.0,0.0,0.0,0,0.0,41.0,9.0,41.0
26.0,238.0,12.0,4.0,7.0,1.0,376,1.0,718.0,367.0,578.0
28.0,28.0,1.0,0.0,1.0,0.0,24,0.0,82.0,53.0,54.0
30.0,719.0,35.0,5.0,4.0,2.0,1011,2.0,1812.0,797.0,1717.0
31.0,226.0,47.0,14.0,7.0,5.0,1896,1.0,599.0,342.0,448.0
33.0,186.0,6.0,1.0,0.0,1.0,163,3.0,426.0,189.0,423.0
34.0,22.0,5.0,3.0,0.0,0.0,251,0.0,59.0,46.0,34.0
35.0,92.0,3.0,1.0,0.0,0.0,1,0.0,284.0,93.0,283.0
36.0,36.0,1.0,0.0,2.0,3.0,96,0.0,122.0,72.0,81.0
37.0,323.0,7.0,1.0,3.0,1.0,792,2.0,805.0,429.0,670.0
38.0,7.0,1.0,1.0,0.0,0.0,137,0.0,65.0,55.0,17.0
40.0,71.0,3.0,2.0,0.0,0.0,274,0.0,322.0,240.0,133.0
41.0,140.0,1.0,0.0,2.0,1.0,102,0.0,337.0,167.0,305.0
42.0,373.0,16.0,3.0,0.0,0.0,345,1.0,950.0,402.0,916.0
43.0,135.0,9.0,6.0,0.0,0.0,612,0.0,512.0,277.0,364.0
48.0,18.0,7.0,2.0,4.0,2.0,406,0.0,55.0,23.0,50.0
54.0,462.0,40.0,12.0,6.0,5.0,2603,1.0,1657.0,881.0,1171.0
60.0,6.0,0.0,0.0,0.0,0.0,0,0.0,22.0,6.0,22.0
61.0,1.0,1.0,0.0,0.0,0.0,0,0.0,9.0,4.0,5.0
62.0,18.0,3.0,1.0,0.0,0.0,122,0.0,61.0,27.0,49.0
63.0,21.0,4.0,1.0,0.0,0.0,31,0.0,82.0,24.0,78.0
64.0,219.0,17.0,7.0,2.0,1.0,795,2.0,604.0,354.0,428.0
65.0,282.0,0.0,0.0,0.0,0.0,16,5.0,699.0,284.0,697.0
66.0,1.0,0.0,0.0,0.0,0.0,0,0.0,12.0,1.0,12.0
68.0,1016.0,44.0,23.0,2.0,2.0,1865,10.0,2220.0,1309.0,1900.0
69.0,778.0,12.0,8.0,0.0,0.0,786,1.0,1994.0,996.0,1740.0
73.0,52.0,8.0,2.0,0.0,1.0,316,0.0,155.0,65.0,142.0
76.0,24.0,4.0,0.0,1.0,0.0,857,0.0,56.0,40.0,37.0
77.0,14.0,0.0,0.0,0.0,0.0,51,0.0,62.0,18.0,58.0
78.0,173.0,31.0,11.0,1.0,1.0,898,2.0,433.0,231.0,365.0
80.0,359.0,116.0,39.0,23.0,6.0,4967,0.0,1769.0,1026.0,960.0
81.0,94.0,0.0,0.0,2.0,0.0,103,2.0,341.0,120.0,310.0
82.0,29.0,1.0,0.0,0.0,0.0,0,0.0,76.0,31.0,74.0
88.0,309.0,10.0,3.0,1.0,1.0,708,0.0,829.0,382.0,746.0
89.0,52.0,12.0,3.0,0.0,0.0,279,0.0,204.0,124.0,119.0
90.0,145.0,11.0,5.0,1.0,0.0,457,2.0,516.0,393.0,252.0
93.0,17.0,1.0,0.0,0.0,0.0,16,0.0,159.0,17.0,159.0
95.0,93.0,0.0,0.0,1.0,2.0,48,1.0,205.0,104.0,192.0
97.0,23.0,2.0,1.0,0.0,0.0,0,0.0,90.0,56.0,51.0
98.0,378.0,5.0,4.0,2.0,0.0,442,2.0,1060.0,592.0,810.0
100.0,467.0,16.0,5.0,1.0,0.0,1243,9.0,1223.0,700.0,985.0
101.0,2.0,0.0,0.0,0.0,0.0,0,0.0,9.0,2.0,9.0
102.0,715.0,24.0,13.0,4.0,1.0,1187,2.0,1685.0,923.0,1453.0
103.0,1193.0,33.0,18.0,4.0,2.0,2092,3.0,2952.0,1732.0,2333.0
105.0,2.0,1.0,0.0,0.0,0.0,38,0.0,12.0,8.0,6.0
106.0,20.0,0.0,0.0,0.0,0.0,0,0.0,120.0,44.0,95.0
108.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,1.0
109.0,3.0,5.0,2.0,1.0,0.0,74,0.0,15.0,13.0,5.0
110.0,70.0,31.0,15.0,2.0,0.0,1055,1.0,240.0,139.0,157.0
111.0,125.0,14.0,6.0,1.0,1.0,855,0.0,300.0,174.0,247.0
112.0,38.0,1.0,0.0,0.0,0.0,15,0.0,162.0,121.0,73.0
113.0,169.0,3.0,0.0,0.0,0.0,466,2.0,591.0,254.0,505.0
114.0,303.0,36.0,19.0,0.0,1.0,1140,0.0,781.0,388.0,680.0
115.0,527.0,13.0,3.0,0.0,0.0,290,8.0,1820.0,563.0,1784.0
116.0,557.0,66.0,25.0,18.0,6.0,3630,1.0,1469.0,860.0,1112.0
117.0,4.0,0.0,0.0,2.0,0.0,0,0.0,18.0,14.0,8.0
119.0,117.0,1.0,1.0,0.0,0.0,141,2.0,250.0,124.0,243.0
121.0,133.0,10.0,5.0,6.0,1.0,819,3.0,375.0,237.0,261.0
122.0,211.0,6.0,4.0,0.0,0.0,386,2.0,433.0,283.0,356.0
124.0,108.0,23.0,9.0,0.0,0.0,768,1.0,359.0,205.0,223.0
125.0,415.0,2.0,0.0,0.0,0.0,524,4.0,1122.0,478.0,1052.0
126.0,3.0,0.0,0.0,0.0,0.0,0,0.0,33.0,25.0,11.0
127.0,65.0,5.0,1.0,0.0,0.0,195,0.0,226.0,99.0,183.0
128.0,51.0,5.0,2.0,0.0,0.0,91,0.0,144.0,60.0,131.0
129.0,114.0,12.0,5.0,1.0,0.0,131,1.0,238.0,127.0,221.0
132.0,71.0,6.0,3.0,6.0,0.0,422,2.0,280.0,162.0,180.0
133.0,34.0,10.0,1.0,0.0,0.0,478,1.0,73.0,59.0,48.0
134.0,86.0,18.0,4.0,12.0,4.0,751,0.0,340.0,220.0,190.0
135.0,46.0,20.0,5.0,0.0,0.0,384,0.0,117.0,67.0,92.0
136.0,77.0,14.0,2.0,2.0,1.0,433,1.0,362.0,207.0,201.0
137.0,0.0,1.0,1.0,0.0,1.0,64,0.0,1.0,0.0,1.0
140.0,10.0,4.0,1.0,0.0,0.0,111,0.0,37.0,37.0,10.0
141.0,9.0,0.0,0.0,0.0,0.0,0,0.0,22.0,16.0,14.0
142.0,62.0,3.0,1.0,1.0,0.0,266,0.0,222.0,118.0,160.0
144.0,1258.0,41.0,16.0,0.0,0.0,1561,10.0,3172.0,1439.0,2981.0
145.0,79.0,6.0,4.0,1.0,2.0,719,0.0,373.0,170.0,252.0
147.0,126.0,2.0,0.0,2.0,0.0,45,0.0,329.0,183.0,261.0
148.0,27.0,12.0,5.0,0.0,0.0,383,0.0,83.0,37.0,73.0
149.0,129.0,23.0,7.0,0.0,1.0,686,1.0,399.0,230.0,277.0
151.0,24.0,2.0,0.0,1.0,0.0,117,1.0,122.0,77.0,59.0
152.0,431.0,25.0,7.0,4.0,2.0,527,4.0,1187.0,572.0,1026.0
154.0,13.0,1.0,0.0,0.0,0.0,0,0.0,37.0,13.0,37.0
157.0,63.0,16.0,6.0,0.0,0.0,946,0.0,222.0,116.0,155.0
159.0,13.0,6.0,3.0,0.0,0.0,237,0.0,58.0,45.0,23.0
160.0,890.0,56.0,16.0,6.0,3.0,2158,4.0,1892.0,1170.0,1579.0
161.0,97.0,23.0,10.0,3.0,0.0,1717,2.0,341.0,186.0,211.0
162.0,115.0,7.0,3.0,3.0,1.0,274,1.0,484.0,181.0,412.0
163.0,25.0,0.0,0.0,3.0,1.0,164,2.0,75.0,55.0,39.0
164.0,535.0,99.0,43.0,10.0,0.0,3567,3.0,1564.0,811.0,1240.0
166.0,18.0,3.0,2.0,0.0,0.0,63,0.0,32.0,22.0,26.0
167.0,202.0,20.0,6.0,0.0,0.0,479,0.0,429.0,234.0,394.0
168.0,44.0,11.0,9.0,0.0,0.0,1304,0.0,253.0,201.0,73.0
170.0,44.0,16.0,5.0,2.0,0.0,214,1.0,173.0,69.0,144.0
171.0,75.0,6.0,1.0,1.0,1.0,168,0.0,157.0,92.0,137.0
173.0,400.0,14.0,1.0,0.0,0.0,606,1.0,964.0,457.0,902.0
174.0,68.0,1.0,0.0,3.0,1.0,80,2.0,256.0,89.0,232.0
176.0,97.0,15.0,0.0,0.0,0.0,164,0.0,300.0,113.0,276.0
179.0,759.0,62.0,18.0,8.0,1.0,2364,0.0,1916.0,1000.0,1651.0
180.0,104.0,2.0,1.0,0.0,0.0,27,0.0,205.0,106.0,203.0
181.0,16.0,17.0,9.0,0.0,0.0,813,0.0,126.0,71.0,69.0
183.0,79.0,6.0,4.0,1.0,0.0,745,0.0,228.0,181.0,118.0
190.0,241.0,9.0,2.0,0.0,0.0,173,0.0,819.0,304.0,741.0
191.0,5.0,1.0,0.0,0.0,0.0,8,0.0,28.0,6.0,26.0
193.0,68.0,10.0,5.0,2.0,0.0,959,0.0,279.0,139.0,161.0
195.0,13.0,0.0,0.0,0.0,0.0,32,0.0,54.0,17.0,50.0
196.0,95.0,2.0,0.0,0.0,2.0,659,0.0,350.0,211.0,203.0
197.0,4.0,1.0,0.0,0.0,0.0,0,0.0,11.0,4.0,11.0
200.0,61.0,11.0,6.0,3.0,0.0,666,0.0,425.0,162.0,320.0
201.0,297.0,20.0,8.0,1.0,0.0,1391,3.0,870.0,510.0,635.0
202.0,2.0,0.0,0.0,0.0,0.0,2,0.0,13.0,13.0,2.0
203.0,79.0,2.0,0.0,0.0,0.0,41,1.0,303.0,86.0,295.0
207.0,51.0,33.0,18.0,3.0,1.0,677,0.0,158.0,88.0,110.0
208.0,5.0,0.0,0.0,0.0,0.0,45,0.0,50.0,28.0,27.0
209.0,5.0,1.0,0.0,0.0,0.0,0,0.0,18.0,6.0,17.0
211.0,59.0,0.0,0.0,0.0,1.0,140,0.0,223.0,83.0,193.0
212.0,256.0,2.0,2.0,3.0,3.0,404,4.0,577.0,336.0,480.0
213.0,32.0,0.0,0.0,2.0,0.0,379,0.0,143.0,86.0,86.0
217.0,120.0,26.0,12.0,19.0,3.0,1252,2.0,308.0,183.0,234.0
218.0,4.0,0.0,0.0,0.0,0.0,0,0.0,12.0,8.0,8.0
219.0,137.0,27.0,14.0,6.0,8.0,2131,1.0,523.0,368.0,254.0
224.0,45.0,11.0,2.0,3.0,1.0,486,0.0,170.0,88.0,127.0
225.0,1016.0,11.0,7.0,1.0,0.0,918,4.0,2060.0,1273.0,1768.0
226.0,134.0,49.0,24.0,15.0,2.0,3366,0.0,704.0,410.0,389.0
227.0,1508.0,79.0,30.0,3.0,3.0,3295,6.0,3011.0,1812.0,2646.0
229.0,191.0,8.0,4.0,0.0,2.0,480,0.0,698.0,310.0,551.0
230.0,209.0,1.0,1.0,1.0,3.0,101,1.0,499.0,272.0,426.0
231.0,5.0,2.0,0.0,0.0,0.0,226,0.0,38.0,16.0,25.0
233.0,59.0,0.0,0.0,1.0,0.0,163,0.0,163.0,96.0,120.0
234.0,117.0,13.0,4.0,1.0,1.0,208,0.0,287.0,119.0,283.0
235.0,43.0,2.0,1.0,1.0,0.0,62,0.0,118.0,46.0,114.0
240.0,92.0,2.0,1.0,0.0,0.0,63,1.0,256.0,108.0,239.0
241.0,923.0,22.0,5.0,0.0,0.0,696,4.0,2237.0,1039.0,2109.0
244.0,6.0,1.0,0.0,0.0,0.0,13,0.0,15.0,8.0,13.0
245.0,177.0,50.0,13.0,5.0,0.0,1198,0.0,388.0,233.0,323.0
246.0,514.0,38.0,17.0,7.0,0.0,3149,0.0,1726.0,916.0,1246.0
247.0,143.0,18.0,5.0,2.0,0.0,556,0.0,450.0,235.0,351.0
248.0,17.0,6.0,5.0,0.0,0.0,361,0.0,84.0,58.0,34.0
249.0,77.0,4.0,0.0,1.0,0.0,110,1.0,165.0,100.0,138.0
250.0,472.0,6.0,2.0,5.0,2.0,450,4.0,1269.0,556.0,1185.0
252.0,206.0,12.0,4.0,9.0,1.0,356,1.0,860.0,504.0,495.0
254.0,205.0,15.0,1.0,0.0,0.0,477,4.0,592.0,260.0,532.0
255.0,1090.0,61.0,28.0,6.0,1.0,3153,1.0,2869.0,1499.0,2371.0
257.0,33.0,12.0,3.0,7.0,2.0,632,0.0,273.0,221.0,70.0
258.0,375.0,0.0,0.0,1.0,1.0,631,0.0,803.0,513.0,647.0
260.0,0.0,10.0,0.0,0.0,0.0,19,0.0,10.0,0.0,10.0
261.0,2.0,0.0,0.0,0.0,0.0,0,0.0,11.0,7.0,5.0
263.0,1241.0,28.0,11.0,18.0,1.0,1822,12.0,2696.0,1444.0,2455.0
265.0,484.0,15.0,8.0,2.0,0.0,1579,7.0,1010.0,623.0,857.0
268.0,76.0,13.0,2.0,1.0,0.0,379,1.0,217.0,101.0,186.0
269.0,91.0,27.0,7.0,6.0,1.0,730,0.0,344.0,195.0,206.0
270.0,178.0,14.0,3.0,3.0,3.0,379,1.0,831.0,471.0,503.0
271.0,20.0,0.0,0.0,0.0,0.0,0,0.0,64.0,44.0,37.0
272.0,719.0,81.0,34.0,3.0,0.0,4031,10.0,2111.0,1465.0,1249.0
275.0,11.0,4.0,1.0,0.0,0.0,86,0.0,30.0,20.0,21.0
276.0,23.0,13.0,5.0,2.0,0.0,350,1.0,96.0,38.0,80.0
278.0,62.0,5.0,3.0,1.0,0.0,254,0.0,209.0,107.0,161.0
279.0,1.0,0.0,0.0,0.0,0.0,0,0.0,131.0,114.0,5.0
282.0,49.0,3.0,0.0,0.0,0.0,0,0.0,166.0,49.0,166.0
283.0,243.0,38.0,23.0,6.0,2.0,1218,2.0,800.0,361.0,640.0
284.0,138.0,4.0,1.0,1.0,2.0,439,0.0,369.0,236.0,256.0
285.0,56.0,2.0,2.0,3.0,0.0,0,1.0,329.0,221.0,128.0
286.0,315.0,24.0,8.0,6.0,4.0,2023,1.0,1132.0,758.0,605.0
287.0,513.0,19.0,6.0,1.0,1.0,478,2.0,1216.0,593.0,1114.0
289.0,397.0,1.0,0.0,0.0,0.0,255,0.0,987.0,480.0,895.0
291.0,34.0,0.0,0.0,0.0,0.0,0,0.0,71.0,34.0,71.0
293.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0
294.0,102.0,0.0,0.0,0.0,0.0,26,0.0,237.0,117.0,222.0
295.0,70.0,15.0,3.0,1.0,1.0,529,0.0,258.0,145.0,176.0
296.0,120.0,2.0,0.0,0.0,0.0,1,0.0,245.0,131.0,234.0
297.0,284.0,8.0,1.0,0.0,0.0,541,0.0,846.0,497.0,619.0
300.0,66.0,7.0,1.0,0.0,0.0,64,0.0,236.0,83.0,219.0
301.0,204.0,15.0,6.0,1.0,0.0,844,0.0,494.0,267.0,416.0
304.0,5.0,0.0,0.0,0.0,0.0,0,0.0,10.0,5.0,10.0
305.0,123.0,1.0,0.0,0.0,0.0,9,1.0,448.0,137.0,432.0
307.0,166.0,20.0,9.0,3.0,2.0,536,0.0,435.0,240.0,355.0
308.0,66.0,15.0,4.0,3.0,2.0,566,0.0,280.0,161.0,165.0
309.0,104.0,16.0,3.0,0.0,0.0,912,1.0,408.0,210.0,260.0
310.0,1334.0,129.0,59.0,2.0,0.0,8039,10.0,3684.0,2369.0,2554.0
312.0,70.0,1.0,0.0,0.0,0.0,0,0.0,180.0,74.0,176.0
314.0,96.0,8.0,4.0,1.0,0.0,346,1.0,234.0,163.0,158.0
316.0,19.0,1.0,0.0,5.0,1.0,106,0.0,58.0,28.0,49.0
319.0,174.0,54.0,12.0,1.0,3.0,1843,0.0,507.0,326.0,331.0
322.0,134.0,17.0,3.0,0.0,0.0,425,0.0,388.0,178.0,337.0
323.0,335.0,4.0,3.0,1.0,0.0,198,4.0,572.0,350.0,556.0
324.0,158.0,28.0,12.0,3.0,1.0,1340,0.0,465.0,251.0,357.0
328.0,19.0,4.0,2.0,0.0,1.0,295,0.0,67.0,49.0,36.0
330.0,768.0,59.0,20.0,1.0,1.0,3706,1.0,2344.0,1387.0,1586.0
332.0,416.0,8.0,4.0,7.0,1.0,656,5.0,979.0,513.0,871.0
333.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
334.0,275.0,47.0,9.0,5.0,0.0,1580,0.0,692.0,401.0,552.0
335.0,42.0,15.0,5.0,0.0,1.0,280,0.0,142.0,97.0,81.0
336.0,195.0,11.0,4.0,1.0,4.0,529,1.0,740.0,398.0,521.0
337.0,279.0,5.0,1.0,0.0,1.0,164,5.0,697.0,300.0,664.0
341.0,335.0,33.0,10.0,0.0,0.0,520,2.0,865.0,358.0,836.0
342.0,384.0,3.0,0.0,0.0,0.0,805,8.0,832.0,432.0,780.0
345.0,51.0,9.0,1.0,2.0,0.0,113,0.0,209.0,79.0,176.0
346.0,309.0,34.0,15.0,7.0,2.0,832,0.0,752.0,364.0,691.0
347.0,324.0,9.0,3.0,7.0,1.0,1128,2.0,1004.0,500.0,809.0
348.0,34.0,11.0,2.0,1.0,0.0,362,0.0,146.0,68.0,107.0
350.0,468.0,77.0,28.0,0.0,0.0,2856,2.0,1374.0,805.0,975.0
351.0,223.0,32.0,14.0,3.0,0.0,1038,3.0,637.0,313.0,539.0
354.0,56.0,26.0,2.0,1.0,3.0,962,0.0,212.0,138.0,120.0
356.0,302.0,3.0,2.0,3.0,1.0,657,3.0,695.0,426.0,564.0
358.0,1009.0,50.0,21.0,11.0,3.0,3898,5.0,2615.0,1345.0,2230.0
359.0,74.0,3.0,2.0,2.0,1.0,729,1.0,219.0,133.0,157.0
361.0,82.0,9.0,2.0,0.0,1.0,249,0.0,226.0,113.0,193.0
364.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,2.0
367.0,60.0,0.0,0.0,0.0,0.0,24,0.0,267.0,145.0,172.0
368.0,117.0,3.0,0.0,0.0,0.0,161,0.0,293.0,156.0,249.0
370.0,47.0,1.0,0.0,0.0,0.0,17,2.0,81.0,47.0,81.0
372.0,51.0,3.0,1.0,0.0,1.0,42,0.0,142.0,55.0,138.0
374.0,37.0,9.0,2.0,0.0,0.0,195,0.0,102.0,40.0,99.0
375.0,976.0,61.0,9.0,1.0,0.0,2433,1.0,2407.0,1335.0,1998.0
377.0,26.0,17.0,8.0,1.0,1.0,530,0.0,154.0,76.0,99.0
378.0,155.0,2.0,0.0,3.0,2.0,476,0.0,544.0,326.0,358.0
379.0,24.0,0.0,0.0,1.0,0.0,113,0.0,90.0,63.0,49.0
380.0,274.0,16.0,9.0,6.0,0.0,1019,4.0,671.0,334.0,590.0
383.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,4.0,0.0
384.0,21.0,0.0,0.0,0.0,0.0,0,0.0,87.0,30.0,78.0
385.0,119.0,18.0,7.0,0.0,0.0,1305,1.0,531.0,293.0,289.0
389.0,244.0,18.0,4.0,0.0,0.0,725,0.0,601.0,367.0,457.0
392.0,114.0,2.0,0.0,0.0,0.0,61,2.0,302.0,141.0,272.0
394.0,326.0,10.0,6.0,0.0,1.0,598,4.0,761.0,369.0,713.0
395.0,77.0,5.0,0.0,0.0,1.0,116,0.0,168.0,83.0,162.0
396.0,16.0,4.0,1.0,2.0,1.0,303,0.0,82.0,52.0,40.0
397.0,601.0,157.0,84.0,17.0,1.0,6218,2.0,2570.0,1202.0,1889.0
399.0,103.0,5.0,2.0,3.0,1.0,425,0.0,290.0,150.0,236.0
400.0,197.0,30.0,11.0,0.0,0.0,1213,2.0,557.0,291.0,457.0
401.0,1143.0,11.0,5.0,0.0,1.0,984,10.0,2644.0,1338.0,2426.0
402.0,47.0,4.0,0.0,1.0,0.0,54,0.0,113.0,61.0,97.0
404.0,50.0,2.0,2.0,3.0,3.0,439,0.0,179.0,112.0,114.0
408.0,27.0,15.0,5.0,2.0,0.0,284,0.0,163.0,108.0,75.0
409.0,182.0,17.0,9.0,8.0,0.0,1348,1.0,756.0,435.0,483.0
410.0,254.0,44.0,14.0,12.0,3.0,1355,4.0,811.0,382.0,649.0
412.0,644.0,46.0,13.0,0.0,3.0,2034,0.0,1896.0,975.0,1524.0
413.0,119.0,6.0,4.0,2.0,0.0,93,3.0,328.0,162.0,278.0
414.0,1.0,0.0,0.0,0.0,0.0,0,0.0,5.0,3.0,3.0
415.0,26.0,27.0,3.0,1.0,0.0,695,0.0,164.0,57.0,110.0
416.0,165.0,11.0,2.0,1.0,0.0,596,0.0,393.0,199.0,353.0
417.0,299.0,12.0,4.0,0.0,0.0,171,3.0,738.0,336.0,692.0
420.0,19.0,6.0,3.0,3.0,0.0,104,1.0,43.0,30.0,30.0
424.0,70.0,1.0,0.0,1.0,0.0,23,1.0,199.0,90.0,177.0
426.0,52.0,6.0,1.0,0.0,0.0,106,0.0,147.0,59.0,140.0
427.0,953.0,107.0,36.0,16.0,5.0,4718,5.0,2647.0,1609.0,1881.0
429.0,242.0,29.0,11.0,1.0,0.0,1414,2.0,761.0,496.0,471.0
431.0,206.0,5.0,1.0,1.0,0.0,1,0.0,733.0,237.0,699.0
435.0,25.0,6.0,3.0,2.0,1.0,469,0.0,99.0,75.0,37.0
436.0,495.0,8.0,2.0,4.0,2.0,880,4.0,1361.0,800.0,1033.0
438.0,1004.0,60.0,16.0,0.0,2.0,2643,4.0,2588.0,1249.0,2314.0
440.0,274.0,92.0,41.0,15.0,5.0,3713,0.0,1429.0,941.0,674.0
442.0,546.0,63.0,14.0,11.0,2.0,2876,1.0,1597.0,903.0,1191.0
446.0,388.0,46.0,21.0,15.0,0.0,3081,1.0,934.0,642.0,647.0
447.0,148.0,31.0,12.0,1.0,7.0,1830,0.0,633.0,357.0,395.0
449.0,8.0,6.0,0.0,0.0,0.0,109,0.0,45.0,26.0,27.0
450.0,31.0,4.0,1.0,0.0,0.0,251,2.0,132.0,99.0,58.0
456.0,453.0,21.0,16.0,0.0,1.0,1746,2.0,1069.0,627.0,886.0
458.0,18.0,9.0,0.0,11.0,2.0,0,0.0,151.0,89.0,75.0
462.0,5.0,1.0,0.0,0.0,0.0,0,0.0,35.0,14.0,25.0
464.0,20.0,1.0,1.0,0.0,0.0,0,0.0,99.0,72.0,43.0
466.0,233.0,11.0,7.0,0.0,0.0,397,4.0,632.0,264.0,595.0
467.0,141.0,17.0,7.0,8.0,3.0,1618,1.0,331.0,246.0,202.0
469.0,125.0,2.0,0.0,0.0,3.0,124,1.0,503.0,204.0,414.0
470.0,30.0,0.0,0.0,0.0,0.0,4,1.0,94.0,48.0,74.0
471.0,200.0,2.0,0.0,0.0,0.0,262,4.0,393.0,234.0,359.0
472.0,6.0,2.0,0.0,0.0,0.0,0,0.0,50.0,32.0,24.0
476.0,585.0,1.0,1.0,1.0,1.0,1330,5.0,1658.0,828.0,1401.0
480.0,15.0,0.0,0.0,0.0,0.0,0,0.0,90.0,25.0,79.0
482.0,3.0,0.0,0.0,0.0,0.0,38,0.0,7.0,3.0,7.0
483.0,287.0,17.0,8.0,5.0,1.0,1662,4.0,1096.0,550.0,802.0
484.0,1447.0,25.0,14.0,2.0,1.0,1329,9.0,3082.0,1684.0,2811.0
486.0,13.0,4.0,0.0,0.0,0.0,19,0.0,38.0,17.0,34.0
489.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
497.0,35.0,1.0,1.0,1.0,0.0,3,0.0,84.0,35.0,84.0
498.0,232.0,29.0,6.0,3.0,1.0,1143,0.0,771.0,404.0,583.0
503.0,39.0,10.0,6.0,7.0,0.0,632,0.0,145.0,79.0,100.0
505.0,279.0,44.0,27.0,4.0,0.0,2789,0.0,666.0,479.0,436.0
507.0,63.0,8.0,2.0,1.0,0.0,174,0.0,179.0,93.0,146.0
508.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
509.0,585.0,15.0,7.0,21.0,6.0,1216,3.0,1468.0,776.0,1233.0
510.0,79.0,11.0,4.0,0.0,0.0,709,0.0,235.0,178.0,128.0
511.0,11.0,3.0,0.0,0.0,0.0,82,0.0,51.0,37.0,24.0
512.0,1714.0,28.0,18.0,4.0,0.0,1832,6.0,4292.0,1879.0,4091.0
513.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0
515.0,62.0,3.0,1.0,0.0,0.0,298,0.0,196.0,118.0,136.0
517.0,78.0,7.0,4.0,0.0,0.0,201,0.0,160.0,87.0,151.0
519.0,995.0,26.0,10.0,2.0,1.0,1579,3.0,3689.0,1207.0,3444.0
520.0,7.0,0.0,0.0,0.0,0.0,4,0.0,69.0,64.0,10.0
521.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,3.0
522.0,126.0,22.0,11.0,0.0,0.0,590,0.0,317.0,154.0,277.0
523.0,901.0,83.0,40.0,14.0,5.0,4497,6.0,2659.0,1378.0,2158.0
526.0,90.0,5.0,2.0,1.0,0.0,457,0.0,224.0,133.0,176.0
527.0,48.0,1.0,1.0,1.0,0.0,21,0.0,121.0,68.0,99.0
528.0,160.0,19.0,6.0,1.0,2.0,834,0.0,586.0,331.0,401.0
529.0,186.0,13.0,4.0,6.0,1.0,290,0.0,561.0,284.0,456.0
530.0,23.0,0.0,0.0,1.0,0.0,292,0.0,126.0,44.0,99.0
532.0,57.0,1.0,1.0,0.0,0.0,13,0.0,152.0,86.0,123.0
534.0,4.0,0.0,0.0,1.0,0.0,0,0.0,42.0,38.0,7.0
535.0,25.0,8.0,0.0,0.0,0.0,135,0.0,130.0,70.0,75.0
536.0,370.0,31.0,14.0,1.0,0.0,1172,2.0,983.0,519.0,808.0
538.0,6.0,1.0,1.0,0.0,0.0,89,0.0,16.0,11.0,11.0
539.0,307.0,67.0,31.0,24.0,5.0,3149,1.0,1026.0,561.0,731.0
541.0,1186.0,136.0,33.0,13.0,2.0,4495,0.0,2913.0,1782.0,2262.0
542.0,1234.0,78.0,30.0,10.0,7.0,4278,18.0,3525.0,1707.0,3016.0
543.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0
545.0,92.0,1.0,0.0,0.0,0.0,322,0.0,219.0,162.0,148.0
548.0,139.0,30.0,11.0,0.0,0.0,1263,2.0,405.0,250.0,286.0
550.0,137.0,37.0,13.0,3.0,2.0,1015,0.0,397.0,156.0,377.0
551.0,298.0,19.0,5.0,0.0,0.0,412,0.0,941.0,353.0,876.0
552.0,139.0,15.0,5.0,2.0,1.0,601,0.0,351.0,199.0,286.0
553.0,45.0,3.0,3.0,0.0,1.0,531,0.0,226.0,119.0,136.0
556.0,101.0,5.0,0.0,2.0,0.0,722,0.0,330.0,241.0,185.0
557.0,333.0,6.0,0.0,3.0,1.0,1034,7.0,1066.0,602.0,769.0
558.0,44.0,1.0,1.0,2.0,0.0,198,0.0,100.0,55.0,88.0
559.0,663.0,51.0,20.0,0.0,1.0,1503,2.0,1608.0,844.0,1413.0
